
1s2.2s2.2p1(2.0P).9f1--3.0D[3.0, 2.0, 1.0], 1.0, 226458.067734 ritzRydberg

1s2.2s2.2p1(2.0P).10s1--3.0P[2.0, 1.0, 0.0], 2.0, 226514.10344 ritzRydberg
1s2.2s2.2p1(2.0P).10s1--3.0P[2.0, 1.0, 0.0], 1.0, 226514.10344 ritzRydberg
1s2.2s2.2p1(2.0P).10s1--3.0P[2.0, 1.0, 0.0], 0.0, 226514.10344 ritzRydberg

1s2.2s2.2p1(2.0P).10p1--3.0P[2.0, 1.0, 0.0], 2.0, 226514.10344 ritzRydberg
1s2.2s2.2p1(2.0P).10p1--3.0P[2.0, 1.0, 0.0], 1.0, 226514.10344 ritzRydberg
1s2.2s2.2p1(2.0P).10p1--3.0P[2.0, 1.0, 0.0], 0.0, 226514.10344 ritzRydberg

1s2.2s2.2p1(2.0P).10d1--3.0P[2.0, 1.0, 0.0], 2.0, 226514.10344 ritzRydberg
1s2.2s2.2p1(2.0P).10d1--3.0P[2.0, 1.0, 0.0], 1.0, 226514.10344 ritzRydberg
1s2.2s2.2p1(2.0P).10d1--3.0P[2.0, 1.0, 0.0], 0.0, 226514.10344 ritzRydberg

1s2.2s1(2.0S).3s1--3.0S[1.0], 1.0, 226563.64934252267 hydrogenic

1s2.2s1(2.0S).3s1--1.0S[0.0], 0.0, 226563.64934252267 hydrogenic

1s2.2s1(2.0S).3p1--3.0P[2.0, 1.0, 0.0], 2.0, 226563.64934252267 hydrogenic
1s2.2s1(2.0S).3p1--3.0P[2.0, 1.0, 0.0], 1.0, 226563.64934252267 hydrogenic
1s2.2s1(2.0S).3p1--3.0P[2.0, 1.0, 0.0], 0.0, 226563.64934252267 hydrogenic

1s2.2s1(2.0S).3p1--1.0P[1.0], 1.0, 226563.64934252267 hydrogenic

1s2.2s1(2.0S).3d1--3.0D[3.0, 2.0, 1.0], 3.0, 226563.64934252267 hydrogenic
1s2.2s1(2.0S).3d1--3.0D[3.0, 2.0, 1.0], 2.0, 226563.64934252267 hydrogenic
1s2.2s1(2.0S).3d1--3.0D[3.0, 2.0, 1.0], 1.0, 226563.64934252267 hydrogenic

1s2.2s1(2.0S).3d1--1.0D[2.0], 2.0, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3s1--4.0P[2.5, 1.5, 0.5], 2.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3s1--4.0P[2.5, 1.5, 0.5], 1.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3s1--4.0P[2.5, 1.5, 0.5], 0.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3s1--2.0P[1.5, 0.5], 1.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3s1--2.0P[1.5, 0.5], 0.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3p1--4.0D[3.5, 2.5, 1.5, 0.5], 3.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3p1--4.0D[3.5, 2.5, 1.5, 0.5], 2.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3p1--4.0D[3.5, 2.5, 1.5, 0.5], 1.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3p1--4.0D[3.5, 2.5, 1.5, 0.5], 0.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3p1--2.0D[2.5, 1.5], 2.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3p1--2.0D[2.5, 1.5], 1.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3p1--4.0P[2.5, 1.5, 0.5], 2.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3p1--4.0P[2.5, 1.5, 0.5], 1.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3p1--4.0P[2.5, 1.5, 0.5], 0.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3p1--2.0P[1.5, 0.5], 1.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3p1--2.0P[1.5, 0.5], 0.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3p1--4.0S[1.5], 1.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3p1--2.0S[0.5], 0.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3d1--4.0F[4.5, 3.5, 2.5, 1.5], 4.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3d1--4.0F[4.5, 3.5, 2.5, 1.5], 3.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3d1--4.0F[4.5, 3.5, 2.5, 1.5], 2.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3d1--4.0F[4.5, 3.5, 2.5, 1.5], 1.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3d1--2.0F[3.5, 2.5], 3.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3d1--2.0F[3.5, 2.5], 2.5, 226563.64934252267 hydrogenic

1s2.2s1.2p2(3.0P).3d1--4.0D[3.5, 2.5, 1.5, 0.5], 3.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3d1--4.0D[3.5, 2.5, 1.5, 0.5], 2.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3d1--4.0D[3.5, 2.5, 1.5, 0.5], 1.5, 226563.64934252267 hydrogenic
1s2.2s1.2p2(3.0P).3d1--4.0D[3.5, 2.5, 1.5, 0.5], 0.5, 226563.64934252267 hydrogenic

