-------------------------------------------------------------------------------------
Configuration      | Term   |    J |   Level (cm-1) | Uncertainty (cm-1) | Reference
2s2.2p2.(3P<2>).5g | 2[3]   |  5/2 |    466856.05   |                    |          
                   |        |  7/2 |    466856.07   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).5g | 2[4]   |  7/2 |    466890.32   |                    |          
                   |        |  9/2 |    466890.55   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).5g | 2[5]   | 11/2 |    466893.65   |                    |          
                   |        |  9/2 |    466893.88   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).4d    | 2D     |  3/2 |    466978.15   |                    |          
                   |        |  5/2 |    466982.86   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).4d    | 2P     |  1/2 |    467769.11   |                    |          
                   |        |  3/2 |    467827.16   |                    |          
                   |        |      |                |                    |           
2s.2p3.(5S*).3d    | 4D*    |  7/2 |    467871.08   |                    |          
                   |        |  5/2 |    467872.32   |                    |          
                   |        |  3/2 |    467873.71   |                    |          
                   |        |  1/2 |    467873.71   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).4f | 2[4]*  |  7/2 |    468605.94   |                    |          
                   |        |  9/2 |    468606.05   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).4f | 2[3]*  |  5/2 |    468682.91   |                    |          
                   |        |  7/2 |    468683.43   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).4f | 2[2]*  |  3/2 |    469119.52   |                    |          
                   |        |  5/2 |    469120.35   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).4f | 2[5]*  |  9/2 |    469241.41   |                    |          
                   |        | 11/2 |    469243.66   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1S).4s    | 2S     |  1/2 |    469407.29   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D<2>).4f | 2[1]*  |  1/2 |    469561.58   |                    |          
                   |        |  3/2 |    469564.01   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(1D).4d    | 2S     |  1/2 |    470269.07   |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P).6s    | 4P     |  3/2 |    471003.82   |                    |          
                   |        |  5/2 |    471331.80   |                    |          
                   |        |      |                |                    |           
2s.2p3.(3D*).3s    | 2D*    |  5/2 |    474368.94   |                    |          
                   |        |  3/2 |    474413.     |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).6g | 2[4]   |  7/2 |    478521.5    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).6g | 2[5]   | 11/2 |    478551.8    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<1>).6h | 2[6]*  | 13/2 |    478562.9    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).6f | 2[5]*  | 11/2 |    478783.1    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).6g | 2[2]   |  5/2 |    478899.0    |                    |          
                   |        |  3/2 |    478899.0    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).6g | 2[6]   | 13/2 |    478915.9    |                    |          
                   |        | 11/2 |    478915.9    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).6g | 2[3]   |  7/2 |    478935.9    |                    |          
                   |        |      |                |                    |           
2s2.2p2.(3P<2>).6h | 2[7]*  | 15/2 |    478942.9    |                    |          
