---------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |   Level (cm-1) | Uncertainty (cm-1) | Leading percentages                | Reference
2s2.2p3.(2D*).4f     | 3G     |   5 |    490789.83   |             0.10   |  87         :     8  (2D*).4f 3H   |          
                     |        |   4 |    490790.7    |             0.2    |  45         :    44  (2D*).4f 3G   |          
                     |        |   3 |    490794.29   |             0.14   |  41         :    30  (2D*).4f 3D   |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4f     | 3D     |   2 |    490798.4    |             0.15   |  37         :    36  (2D*).4f 3D   |          
                     |        |   3 |    490800.17   |             0.11   |  54         :    35  (2D*).4f 3G   |          
                     |        |   1 |    490888.1    |             1.3    |  95                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4f     | 3F     |   4 |    490800.19   |             0.11   |  51         :    47  (2D*).4f 3G   |          
                     |        |   3 |    490815.12   |             0.10   |  71         :    17  (2D*).4f 3G   |          
                     |        |   2 |    490837.45   |             0.11   |  68         :    28  (2D*).4f 3D   |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4f     | 1P     |   1 |    490811.32   |             0.14   |  90         :    10  (2D*).4f 3P   |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4f     | 1D     |   2 |    490819.04   |             0.13   |  59         :    36  (2D*).4f 3D   |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4f     | 3H     |   5 |    490832.60   |             0.09   |  53         :    34  (2D*).4f 1H   |          
                     |        |   6 |    490833.55   |             0.11   | 100                                |          
                     |        |   4 |    490885.32   |             0.11   |  95                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4f     | 1G     |   4 |    490833.93   |             0.10   |  84         :     9  (2D*).4f 3G   |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4f     | 3P     |   1 |    490835.4    |             0.2    |  87         :     9  (2D*).4f 1P   |          
                     |        |   0 |    490840.7    |             0.2    | 100                                |          
                     |        |   2 |    490894.98   |             0.14   |  99                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4f     | 1F     |   3 |    490853.30   |             0.10   |  88         :     6  (2D*).4f 3G   |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(2D*).4f     | 1H     |   5 |    490882.41   |             0.09   |  61         :    39  (2D*).4f 3H   |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).7f     | 5F     |   3 |    491313.3+x  |             0.3    | 100                                |          
                     |        |   5 |    491313.3+x  |             0.3    | 100                                |          
                     |        |   2 |    491313.3+x  |             0.3    | 100                                |          
                     |        |   4 |    491313.3+x  |             0.3    | 100                                |          
                     |        |   1 |    491313.3+x  |             0.3    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).7f     | 3F     |   4 |    491326.9    |             0.5    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).7g     | 5G*    |   4 |    491369.4+x  |             0.6    | 100                                |          
                     |        |   6 |    491369.4+x  |             0.6    | 100                                |          
                     |        |   3 |    491369.4+x  |             0.6    | 100                                |          
                     |        |   5 |    491369.4+x  |             0.6    | 100                                |          
                     |        |   2 |    491369.4+x  |             0.6    | 100                                |          
                     |        |     |                |                    |                                    |           
2s2.2p3.(4S*).7g     | 3G*    |   5 |    491369.6    |             0.5    | 100                                |          
                     |        |   4 |    491369.6    |             0.5    | 100                                |          
