-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |       Level (cm-1) | Uncertainty (cm-1) |           Landé | Leading percentages                                | Reference
2s2.2p.6p              | 3P        |   0 |     87077.402      |           0.022    |                 |  98                                                |       L20057
                       |           |   1 |     87103.134      |           0.019    |                 |  54         :    44  2s2.2p.6p             3S      |       L20057
                       |           |   2 |     87113.239      |           0.021    |                 |  95                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6p              | 1D        |   2 |     87218.275      |           0.006    |                 |  88         :     6  2s2.2p.7p             1D      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6p              | 1S        |   0 |     87341.05       |           0.03     |                 |  65         :    22  2s2.2p.7p             1S      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6d              | 1D*       |   2 |     87633.77       |           0.03     |                 |  84         :    12  2s2.2p.6d             3F*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6d              | 3F*       |   2 |     87708.22       |           0.05     |                 |  64         :    27  2s2.2p.6d             3D*     |       L20057
                       |           |   3 |     87713.42       |           0.05     |                 |  64         :    24  2s2.2p.6d             3D*     |       L20057
                       |           |   4 |     87760.63       |           0.05     |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.7s              | 3P*       |   0 |     87711.39       |           0.03     |                 |  96                                                |       L20057
                       |           |   1 |     87718.583      |           0.016    |                 |  65         :    16  2s2.2p.7s             1P*     |       L20057
                       |           |   2 |     87753.763      |           0.023    |                 |  71         :    15  2s2.2p.6d             3P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6d              | 3D*       |   1 |     87735.33       |           0.13     |                 |  66         :    15  2s2.2p.7s             3P*     |       L20057
                       |           |   2 |     87773.113      |           0.023    |                 |  53         :    24  2s2.2p.6d             3F*     |       L20057
                       |           |   3 |     87777.18       |           0.03     |                 |  70         :    29  2s2.2p.6d             3F*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).6f   | 2[5/2]    |   3 |     87762.15       |           0.05     |                 |  97                                                |       L20057
                       |           |   2 |     87762.23       |           0.03     |                 |  97                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).6f   | 2[7/2]    |   4 |     87763.14       |           0.08     |                 |  99                                                |       L20057
                       |           |   3 |     87763.21       |           0.07     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).6g   | 2[7/2]*   |   4 |     87769.960      |           0.004    |                 |  99                                                |       L20057
                       |           |   3 |     87769.963      |           0.005    |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).6g   | 2[9/2]*   |   5 |     87770.2889     |           0.0006   |                 | 100                                                |       L20057
                       |           |   4 |     87770.2889     |           0.0006   |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).6h   | 2[9/2]    |   4 |     87771.358      |           0.008    |                 | 100                                                |       L20057
                       |           |   5 |     87771.359      |           0.009    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).6h   | 2[11/2]   |   6 |     87771.366      |           0.014    |                 | 100                                                |       L20057
                       |           |   5 |     87771.366      |           0.014    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.7s              | 1P*       |   1 |     87789.646      |           0.022    |                 |  51         :    38  2s2.2p.6d             1P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6d              | 1F*       |   3 |     87806.95       |           0.03     |                 |  87         :     7  2s2.2p.6d             3F*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6f   | 2[7/2]    |   3 |     87819.96       |           0.03     |                 |  99                                                |       L20057
                       |           |   4 |     87820.05       |           0.08     |                 |  99                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6f   | 2[5/2]    |   3 |     87826.99       |           0.04     |                 |  98                                                |       L20057
                       |           |   2 |     87827.043      |           0.023    |                 |  97                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6g   | 2[9/2]*   |   4 |     87829.458      |           0.017    |                 | 100                                                |       L20057
                       |           |   5 |     87829.470      |           0.004    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6d              | 1P*       |   1 |     87830.18       |           0.03     |                 |  40         :    31  2s2.2p.7s             1P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6f   | 2[9/2]    |   5 |    [87831.3]       |           0.4      |                 | 100                                                |       L20057
                       |           |   4 |    [87831.5]       |           0.4      |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6g   | 2[7/2]*   |   3 |     87832.341      |           0.013    |                 | 100                                                |       L20057
                       |           |   4 |     87832.348      |           0.004    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.6d              | 3P*       |   2 |     87832.568      |           0.024    |                 |  68         :    24  2s2.2p.7s             3P*     |       L20057
                       |           |   1 |     87843.93       |           0.03     |                 |  85         :     7  2s2.2p.7s             3P*     |       L20057
                       |           |   0 |     87845.1        |           1.6      |                 |  95         :     4  2s2.2p.7s             3P*     |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6h   | 2[11/2]   |   5 |     87833.091      |           0.014    |                 | 100                                                |       L20057
                       |           |   6 |     87833.093      |           0.014    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6h   | 2[9/2]    |   4 |     87833.962      |           0.006    |                 | 100                                                |       L20057
                       |           |   5 |     87833.962      |           0.006    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6g   | 2[11/2]*  |   6 |     87835.6391     |           0.0008   |                 | 100                                                |       L20057
                       |           |   5 |     87835.642      |           0.004    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6h   | 2[13/2]   |   6 |     87836.050      |           0.008    |                 | 100                                                |       L20057
                       |           |   7 |     87836.053      |           0.008    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6h   | 2[7/2]    |   3 |     87837.135      |           0.009    |                 | 100                                                |       L20057
                       |           |   4 |     87837.136      |           0.009    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6f   | 2[3/2]    |   1 |     87837.76       |           0.05     |                 | 100                                                |       L20057
                       |           |   2 |     87837.76       |           0.05     |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<3/2>).6g   | 2[5/2]*   |   3 |     87837.808      |           0.019    |                 | 100                                                |       L20057
                       |           |   2 |     87837.808      |           0.019    |                 | 100                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.7p              | 1P        |   1 |     88061.34       |           0.04     |                 |  49         :    46  2s2.2p.7p             3D      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.7p              | 3D        |   1 |     88092.00       |           0.04     |                 |  44         :    30  2s2.2p.7p             1P      |       L20057
                       |           |   2 |     88096.06       |           0.05     |                 |  91         :     6  2s2.2p.7p             3P      |       L20057
                       |           |   3 |     88135.84       |           0.04     |                 |  98                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.7p              | 3P        |   0 |     88159.93       |           0.03     |                 |  98                                                |       L20057
                       |           |   1 |     88192.34       |           0.03     |                 |  50         :    48  2s2.2p.7p             3P      |       L20057
                       |           |   2 |     88198.20       |           0.04     |                 |  91         :     7  2s2.2p.7p             3D      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.7p              | 1D        |   2 |     88260.38       |           0.03     |                 |  84         :     7  2s2.2p.8p             1D      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.7p              | 1S        |   0 |     88333.99       |           0.03     |                 |  58         :    28  2s2.2p.8p             1S      |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).7d   | 2[5/2]*   |   2 |     88498.63       |           0.03     |                 |  53         :    29  2s2.2p.(2P*<1/2>).7d  2[3/2]* |       L20057
                       |           |   3 |     88545.02       |           0.18     |                 |  96                                                |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).7d   | 2[3/2]*   |   2 |     88543.5        |           1.7      |                 |  45         :    45  2s2.2p.(2P*<1/2>).7d  2[5/2]* |       L20057
                       |           |   1 |     88558.62       |           0.13     |                 |  88         :     6  2s2.2p.(2P*<1/2>).8s  2[1/2]* |       L20057
                       |           |     |                    |                    |                 |                                                    |              
2s2.2p.(2P*<1/2>).8s   | 2[1/2]*   |   0 |     88543.78       |           0.03     |                 |  97                                                |       L20057
