
1s2.2s2.2p3(4.0S).19p1--3.0P[2.0, 1.0, 0.0], 1.0, 107324.771985 ritzRydberg
1s2.2s2.2p3(4.0S).19p1--3.0P[2.0, 1.0, 0.0], 0.0, 107324.771985 ritzRydberg

1s2.2s2.2p3(4.0S).20p1--5.0P[3.0, 2.0, 1.0], 3.0, 107345.258048 ritzRydberg
1s2.2s2.2p3(4.0S).20p1--5.0P[3.0, 2.0, 1.0], 2.0, 107345.258048 ritzRydberg
1s2.2s2.2p3(4.0S).20p1--5.0P[3.0, 2.0, 1.0], 1.0, 107345.258048 ritzRydberg

1s2.2s2.2p3(4.0S).12g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 6.0, 107367.54850032872 ritzRydberg
1s2.2s2.2p3(4.0S).12g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 5.0, 107367.54850032872 ritzRydberg
1s2.2s2.2p3(4.0S).12g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 4.0, 107367.54850032872 ritzRydberg
1s2.2s2.2p3(4.0S).12g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 3.0, 107367.54850032872 ritzRydberg
1s2.2s2.2p3(4.0S).12g1--5.0G[6.0, 5.0, 4.0, 3.0, 2.0], 2.0, 107367.54850032872 ritzRydberg

1s2.2s2.2p3(4.0S).12g1--3.0G[5.0, 4.0, 3.0], 5.0, 107367.54850032872 ritzRydberg
1s2.2s2.2p3(4.0S).12g1--3.0G[5.0, 4.0, 3.0], 4.0, 107367.54850032872 ritzRydberg
1s2.2s2.2p3(4.0S).12g1--3.0G[5.0, 4.0, 3.0], 3.0, 107367.54850032872 ritzRydberg

1s2.2s2.2p3(4.0S).20s1--5.0S[2.0], 2.0, 107411.603075 ritzRydberg

1s2.2s2.2p3(4.0S).20p1--3.0P[2.0, 1.0, 0.0], 2.0, 107411.81547 ritzRydberg
