config, term, J, epsion
2s2.2p.(2P<1/2>).10, 2[3/2, 2, 11.12302
2s2.2p.(2P<1/2>).10, 2[3/2, 1, 11.123407

2s2.2p.(2P<3/2>).10, 2[7/2, 4, 11.130008

2s2.2p.(2P<3/2>).10, 2[5/2, 2, 11.130420
2s2.2p.(2P<3/2>).10, 2[5/2, 3, 11.13046

2s2.2p.(2P<3/2>).10, 2[7/2, 3, 11.13119

2s2.2p.(2P<3/2>).10, 2[3/2, 1, 11.131683

2s2.2p.(2P<3/2>).10, 2[1/2, 1, 11.13172

2s2.2p.(2P<3/2>).10, 2[3/2, 2, 11.13177

2s2.2p.(2P<3/2>).10, 2[1/2, 0, 11.1320

2s2.2p.(2P<1/2>).11, 2[3/2, 1, 11.132446

2s2.2p.(2P<1/2>).11, 2[5/2, 2, 11.14563

2s2.2p.(2P<1/2>).12, 2[1/2, 1, 11.14660

2s2.2p.(2P<1/2>).11, 2[5/2, 3, 11.146805

2s2.2p.(2P<1/2>).12, 2[1/2, 0, 11.14685

2s2.2p.(2P<1/2>).11, 2[3/2, 2, 11.14685
2s2.2p.(2P<1/2>).11, 2[3/2, 1, 11.14699

2s2.2p.(2P<3/2>).11, 2[5/2, 2, 11.154448

2s2.2p.(2P<3/2>).12, 2[3/2, 1, 11.154766

2s2.2p.(2P<3/2>).11, 2[5/2, 3, 11.1549

2s2.2p.(2P<3/2>).11, 2[7/2, 3, 11.155031

2s2.2p.(2P<3/2>).11, 2[3/2, 1, 11.155419

2s2.2p.(2P<3/2>).11, 2[1/2, 0, 11.1556
2s2.2p.(2P<3/2>).11, 2[1/2, 1, 11.15559

2s2.2p.(2P<3/2>).11, 2[3/2, 2, 11.1556

2s2.2p.(2P<1/2>).13, 2[1/2, 1, 11.16495

2s2.2p.(2P<1/2>).12, 2[5/2, 3, 11.164967

2s2.2p.(2P<1/2>).13, 2[1/2, 0, 11.16498

2s2.2p.(2P<1/2>).12, 2[3/2, 2, 11.16498
2s2.2p.(2P<1/2>).12, 2[3/2, 1, 11.165320

2s2.2p.(2P<3/2>).12, 2[5/2, 2, 11.17232
2s2.2p.(2P<3/2>).12, 2[5/2, 3, 11.17271

2s2.2p.(2P<3/2>).13, 2[3/2, 1, 11.17290

2s2.2p.(2P<3/2>).12, 2[7/2, 3, 11.17315

2s2.2p.(2P<3/2>).12, 2[1/2, 0, 11.1732

2s2.2p.(2P<3/2>).12, 2[3/2, 2, 11.17327

2s2.2p.(2P<3/2>).12, 2[1/2, 1, 11.17327

2s2.2p.(2P<3/2>).12, 2[3/2, 1, 11.173440

2s2.2p.(2P<1/2>).14, 2[1/2, 1, 11.1788

2s2.2p.(2P<1/2>).13, 2[5/2, 3, 11.17911

2s2.2p.(2P<1/2>).14, 2[1/2, 0, 11.17921

2s2.2p.(2P<1/2>).13, 2[3/2, 2, 11.17921
2s2.2p.(2P<1/2>).13, 2[3/2, 1, 11.179408

2s2.2p.(2P<3/2>).13, 2[5/2, 3, 11.18693
2s2.2p.(2P<3/2>).13, 2[5/2, 2, 11.18697

2s2.2p.(2P<3/2>).14, 2[3/2, 1, 11.187064

2s2.2p.(2P<3/2>).13, 2[1/2, 1, 11.1871
2s2.2p.(2P<3/2>).13, 2[1/2, 0, 11.1871

2s2.2p.(2P<3/2>).13, 2[3/2, 2, 11.18711

2s2.2p.(2P<3/2>).13, 2[7/2, 3, 11.187197

2s2.2p.(2P<3/2>).13, 2[3/2, 1, 11.187362

2s2.2p.(2P<1/2>).14, 2[3/2, 2, 11.19021

2s2.2p.(2P<1/2>).15, 2[1/2, 0, 11.19023

2s2.2p.(2P<1/2>).14, 2[5/2, 3, 11.190390

2s2.2p.(2P<1/2>).15, 2[1/2, 1, 11.19047

2s2.2p.(2P<1/2>).14, 2[3/2, 1, 11.19070

2s2.2p.(2P<3/2>).14, 2[5/2, 3, 11.19800
2s2.2p.(2P<3/2>).14, 2[5/2, 2, 11.19800

2s2.2p.(2P<3/2>).15, 2[3/2, 1, 11.19830

2s2.2p.(2P<3/2>).14, 2[7/2, 3, 11.198335

2s2.2p.(2P<3/2>).14, 2[3/2, 1, 11.198544
2s2.2p.(2P<3/2>).14, 2[3/2, 2, 11.1989

2s2.2p.(2P<3/2>).14, 2[1/2, 1, 11.1989
2s2.2p.(2P<3/2>).14, 2[1/2, 0, 11.1989

2s2.2p.(2P<1/2>).16, 2[1/2, 1, 11.19900

2s2.2p.(2P<1/2>).15, 2[5/2, 3, 11.199453

2s2.2p.(2P<1/2>).16, 2[1/2, 0, 11.19950

2s2.2p.(2P<1/2>).15, 2[3/2, 2, 11.19985

2s2.2p.(2P<1/2>).16, 2[5/2, 3, 11.20681

2s2.2p.(2P<1/2>).17, 2[1/2, 0, 11.20696

2s2.2p.(2P<1/2>).16, 2[3/2, 2, 11.20708

2s2.2p.(2P<3/2>).15, 2[5/2, 2, 11.20740
2s2.2p.(2P<3/2>).15, 2[5/2, 3, 11.20740

2s2.2p.(2P<3/2>).15, 2[7/2, 3, 11.207419

2s2.2p.(2P<3/2>).15, 2[3/2, 1, 11.20760
2s2.2p.(2P<3/2>).15, 2[3/2, 2, 11.2077

2s2.2p.(2P<3/2>).15, 2[1/2, 0, 11.2077
2s2.2p.(2P<3/2>).15, 2[1/2, 1, 11.2077

2s2.2p.(2P<1/2>).17, 2[5/2, 3, 11.212923

2s2.2p.(2P<3/2>).16, 2[5/2, 2, 11.21474
2s2.2p.(2P<3/2>).16, 2[5/2, 3, 11.21474

2s2.2p.(2P<3/2>).16, 2[7/2, 3, 11.214761

2s2.2p.(2P<3/2>).16, 2[3/2, 1, 11.214940

2s2.2p.(2P<1/2>).18, 2[5/2, 3, 11.218044

2s2.2p.(2P<3/2>).17, 2[5/2, 2, 11.22067

2s2.2p.(2P<3/2>).17, 2[7/2, 3, 11.220907

2s2.2p.(2P<3/2>).17, 2[5/2, 3, 11.22094

2s2.2p.(2P<3/2>).17, 2[3/2, 1, 11.220957

2s2.2p.(2P<1/2>).19, 2[5/2, 3, 11.22233

2s2.2p.(2P<3/2>).18, 2[5/2, 3, 11.22593
2s2.2p.(2P<3/2>).18, 2[5/2, 2, 11.22593

2s2.2p.(2P<3/2>).18, 2[7/2, 3, 11.22601

2s2.2p.(2P<3/2>).18, 2[3/2, 1, 11.226134

2s2.2p.(2P<1/2>).20, 2[5/2, 3, 11.22622

2s2.2p.(2P<1/2>).21, 2[5/2, 3, 11.229286

2s2.2p.(2P<3/2>).19, 2[5/2, 3, 11.2298
2s2.2p.(2P<3/2>).19, 2[5/2, 2, 11.2298

2s2.2p.(2P<3/2>).19, 2[7/2, 3, 11.230324

2s2.2p.(2P<3/2>).19, 2[3/2, 1, 11.23036

2s2.2p.(2P<1/2>).22, 2[5/2, 3, 11.232035

2s2.2p.(2P<3/2>).20, 2[5/2, 2, 11.2336
2s2.2p.(2P<3/2>).20, 2[5/2, 3, 11.2336

2s2.2p.(2P<3/2>).20, 2[7/2, 3, 11.23416

2s2.2p.(2P<3/2>).20, 2[3/2, 1, 11.23422

2s2.2p.(2P<3/2>).21, 2[7/2, 3, 11.23725

2s2.2p.(2P<3/2>).22, 2[7/2, 3, 11.23991

2s2.2p.(2P<3/2>).23, 2[7/2, 3, 11.24237

2s2.2p.(2P<3/2>).24, 2[7/2, 3, 11.244432

2s2.2p.(2P<3/2>).25, 2[7/2, 3, 11.24633

2s2.2p.(2P<3/2>).26, 2[7/2, 3, 11.24798

2s2.2p.(2P<3/2>).27, 2[7/2, 3, 11.249448

2s2.2p.(2P<3/2>).28, 2[7/2, 3, 11.250807

2s2.2p.(2P<3/2>).29, 2[7/2, 3, 11.25204

Limit, 11.2602880
