config, term, J, epsion
2s2.2p2.(3P).11d, 4D, 1.5, 116367
2s2.2p2.(3P).11d, 4D, 2.5, 116367
2s2.2p2.(3P).11d, 4D, 3.5, 116367

2s2.2p2.(3P).11d, 2D, 1.5, 116436
2s2.2p2.(3P).11d, 2D, 2.5, 116436

2s2.2p2.(3P).11d, 4P, 0.5, 116441
2s2.2p2.(3P).11d, 4P, 1.5, 116441
2s2.2p2.(3P).11d, 4P, 2.5, 116441

2s2.2p2.(3P).13s, 2P, 0.5, 116467
2s2.2p2.(3P).13s, 2P, 1.5, 116467

2s2.2p2.(3P).12d, 2P, 0.5, 116502
2s2.2p2.(3P).12d, 2P, 1.5, 116502

2s2.2p2.(3P).12d, 4P, 0.5, 116581
2s2.2p2.(3P).12d, 4P, 1.5, 116581
2s2.2p2.(3P).12d, 4P, 2.5, 116581

2s2.2p2.(3P).12d, 2D, 1.5, 116625
2s2.2p2.(3P).12d, 2D, 2.5, 116625
